CONCESIONARIO,ID LOCALIDAD,DIRECCION,NOMBRE,FECHA VIG,LONGITUD,LATITUD
PromoAmbiental (ASE01),1,CRA 7 No. 123 - 65,CENTRO MEDICO COLSUBSIDIO,Nov-21,-74.031749496565,4.6991966948467
PromoAmbiental (ASE01),1,CRA 7 CALLE 121,CLINICA ECHEVERRY,Nov-21,-74.036533706871,4.6903918982822
PromoAmbiental (ASE01),1,CRA 7 No. 117-15,FUNDACION SANTA FE,Nov-21,-74.035212693129,4.6950402017178
PromoAmbiental (ASE01),1,Calle 110 # 9 B - 04,JUMBO SANTA ANA,Nov-21,-74.041097696565,4.6910916982822
PromoAmbiental (ASE01),1,CALLE 110,CENTRO CIAL SANTA ANA,Nov-21,-74.039210486258,4.6910073948467
PromoAmbiental (ASE01),1,CRA 9 CALLE 116,TELEPORT BUSINESS,Nov-21,-74.036110203435,4.6947293982822
PromoAmbiental (ASE01),1,AV. Cra 9  calle 116,HOTEL NH,Nov-21,-74.036110203435,4.6947293982822
PromoAmbiental (ASE01),1,Cra 9 Calle 117,LABORATORIOS FUNDACION SANTAFE,Nov-21,-74.034459471102,4.6945305874538
PromoAmbiental (ASE01),1,Av. Cra 9 No. 131,OBRA UNIVERSIDAD DEL BOSQUE,Nov-21,-74.035794577147,4.7084004385736
PromoAmbiental (ASE01),1,CALLE 134  No. 9,EXITO COUNTRY,Nov-21,-74.035352250859,4.7127704245706
PromoAmbiental (ASE01),1,CL 127 # 13 A,CARULLA EXPRESS CAROLINA,Nov-21,-74.0428617,4.7044329754294
PromoAmbiental (ASE01),1,CRA 15 CALLE 127,CENTRO CIAL UNICENTRO,Nov-21,-74.044691850859,4.7044563754294
PromoAmbiental (ASE01),1,AV. 15 No. 123,EXITO UNICENTRO,Nov-21,-74.044205,4.7020376262883
PromoAmbiental (ASE01),1,CRA 15 CALLE 127C,COUNTRY CLUB DE BOGOTA,Nov-21,-74.044914303436,4.7062409245706
PromoAmbiental (ASE01),1,AV CL 127 # 14,CARULLA CALLE 127 (CAF),Nov-21,-74.043278701718,4.7044135245706
PromoAmbiental (ASE01),1,CR 15 # 114 A,CARULLA PEPE SIERRA,Nov-21,-74.045647801718,4.6956652754294
PromoAmbiental (ASE01),2,CALLE 98 No 17 A,CARULLA 100,Nov-21,-74.049726950859,4.6836369262883
PromoAmbiental (ASE01),2,CL 98 17,OLIMPICA,Nov-21,-74.0500043,4.6830498245706
PromoAmbiental (ASE01),1,8A No. 101-33,CANTON NORTE,Nov-21,-74.041168650859,4.6817158245706
PromoAmbiental (ASE01),1,AUTO NORTE CALLE 172,EASY,Nov-21,-74.046118907175,4.7524581554903
PromoAmbiental (ASE01),1,AUTO NORTE CALLE 172,EXITO AUT. NORTE,Nov-21,-74.046215300304,4.751711108741
PromoAmbiental (ASE01),1,AUT. NORTE CALLE 174,CENTRO CIAL PANAMA,Nov-21,-74.044988,4.7553488771472
PromoAmbiental (ASE01),1,AUTO NORTE CALLE 170,PORTAL NORTE,Nov-21,-74.046409798652,4.7513847097193
PromoAmbiental (ASE01),1,AV. 13 No. 183 - 86,CARULLA 183,Nov-21,-74.0349925,4.7603425368558
PromoAmbiental (ASE01),1,CALLE 192 AUT. NORTE,TERMINAL NORTE,Nov-21,-74.043414849642,4.768963697326
PromoAmbiental (ASE01),1,Cl. 193 #8-27,CLUB MILITAR CASAMATA,Nov-21,-74.032052509567,4.7696504983698
PromoAmbiental (ASE01),1,CALLE 192  No. 9 .45,COLEGIO SAN CARLOS,Nov-21,-74.031136774842,4.7696625475109
Lime (ASE02),16,AV AMERICAS 50 51,INCOLBESTOS,Nov-21,-74.108534451,4.626821889
PromoAmbiental (ASE01),1,CALLE 193 No 09 - 20,GIMNASIO LOS PINOS,Nov-21,-74.031209069689,4.7701445131556
PromoAmbiental (ASE01),1,AUT NORTE CALLE 192,MAKRO,Nov-21,-74.04349919363,4.7686263213747
PromoAmbiental (ASE01),1,AUT. NORTE CALLE 190,HANBURGUESAS EL CORRAL,Nov-21,-74.043619685041,4.7675659969563
PromoAmbiental (ASE01),1,AUT. NORTE CALL 193,EDS ESSO,Nov-21,-74.043210014243,4.7692287784306
PromoAmbiental (ASE01),1,AUT NORTE CALLE 192,MC DONALS,Nov-21,-74.04349919363,4.7683130437057
PromoAmbiental (ASE01),1,CALLE 200 AUT. NORTE,UNIVERSIDAD DEL ROSARIO,Nov-21,-74.041721945315,4.7791211232889
PromoAmbiental (ASE01),1,AUTO NORTE CALLE 200,JARDINEZ DE PAZ,Nov-21,-74.041221905958,4.7791632952828
PromoAmbiental (ASE01),1,CRA 7 CALLE 201,SUBESTACION TORCA,Nov-21,-74.026027939008,4.7770848184398
PromoAmbiental (ASE01),1,AUT. NORTE No. 224-60,MULTIPARQUE,Nov-21,-74.037763802457,4.8015927714746
PromoAmbiental (ASE01),1,AUT NORTE No. 224-80,MUEBLES GUAYMARAL,Nov-21,-74.037655360187,4.8014481817812
PromoAmbiental (ASE01),1,CRA 45 No. 235 - 40,ETB,Nov-21,-74.036438396934,4.8093283200727
PromoAmbiental (ASE01),1,CRA 45 No. 242 - 10,FOTON,Nov-21,-74.034838873451,4.8195791268791
PromoAmbiental (ASE01),1,CALLE 200 CRA 7,COMPENSAR,Nov-21,-74.025964681017,4.7765938159393
PromoAmbiental (ASE01),1,CRA 18 No. 187 - 91,USD VERBENAL,Nov-21,-74.039447669929,4.7646772153732
PromoAmbiental (ASE01),1,CRA 7 CALLE 165,HOSPITAL SIMON BOLIVAR,Nov-21,-74.022470430093,4.7410187267872
PromoAmbiental (ASE01),1,CALLE 165 No. 7-48,CADE SERVITA,Nov-21,-74.022542724939,4.7408861862349
PromoAmbiental (ASE01),1,CALLE 165 No. 7-38,UNIDAD DE SERVICIOS DE SALUD S,Nov-21,-74.022506577516,4.7407777439649
PromoAmbiental (ASE01),1,AUTO NORTE CALLE 172,EXITO AUT. NORTE,Nov-21,-74.046110844967,4.7528871307888
PromoAmbiental (ASE01),1,CALLE 170 No. 15-68,COLEGIO INGLATERRA,Nov-21,-74.037580053055,4.749139847901
PromoAmbiental (ASE01),1,CALLE 170 No. 17a - 32,COLEGIO EUCARISTICO,Nov-21,-74.039736849315,4.7496941083925
PromoAmbiental (ASE01),1,Calle 170 12 10,COLEGIO LA SALLE,Nov-21,-74.033085723418,4.7484650959984
PromoAmbiental (ASE01),1,CALLE 170 No. 8 - 41,COLEGIO MARIA AUXILIADORA,Nov-21,-74.025187511415,4.7472722310277
PromoAmbiental (ASE01),1,CALLE 170 No. 8G - 31,SEMINARIO SAN PABLO,Nov-21,-74.029296268536,4.7477120246785
PromoAmbiental (ASE01),1,Calle 170 No. 8-80/70,COLEGIO ANGLO AMERICANO,Nov-21,-74.025205585127,4.7470854693403
PromoAmbiental (ASE01),1,Carrera 8H # 172 -20,UNIVERSIDAD SAN BUENAVENTURA,Nov-21,-74.030561428354,4.7478927617953
PromoAmbiental (ASE01),1,CRA 7 No.  140 - 19,CENTRO CIAL BELAIRE PLAZA,Nov-21,-74.028868524027,4.71616134866
PromoAmbiental (ASE01),1,CRA 9 CALLE 140,Mac Donald,Nov-21,-74.032423020657,4.7177277370054
PromoAmbiental (ASE01),1,CALLE 134  No. 9-51,EXITO COUNTRY,Nov-21,-74.032579659491,4.712799638288
PromoAmbiental (ASE01),1,CRA 15 CALLE 127,CENTRO CIAL UNICENTRO,Nov-21,-74.042664790607,4.7041845023883
PromoAmbiental (ASE01),1,CALLE 127 No. 11-12,INSTUTUCION PEDAGOGICA NACIONA,Nov-21,-74.032904986301,4.7033892590745
PromoAmbiental (ASE01),1,CRA 7 CALLE 116,HACIENDA SANTA BARBARA,Nov-21,-74.033158018265,4.6937258478976
PromoAmbiental (ASE01),1,CRA 7 No. 117-15,FUNDACION SANTA FE,Nov-21,-74.032664003479,4.6947018283281
PromoAmbiental (ASE01),1,CRA 9 CALLE 117,LABORATORIOS FUNDACION SANTAFE,Nov-21,-74.034200268972,4.6949126882977
PromoAmbiental (ASE01),1,CALL 169 CRA 7,UNIVESIDAD DE LA SALLE,Nov-21,-74.022352950967,4.7465583194164
PromoAmbiental (ASE01),1,CRA 7 CALLE 165,HOSPITAL SIMON BOLIVAR,Nov-21,-74.022238484126,4.7410880093487
PromoAmbiental (ASE01),1,CALLE 165 No. 7-48,CADE SERVITA,Nov-21,-74.022316803544,4.7409614933669
PromoAmbiental (ASE01),1,CALLE 165 No. 7-52,CENTRO DESARROLLO COMUN. SIMON,Nov-21,-74.022346926396,4.7408470265263
PromoAmbiental (ASE01),1,CR 17 # 151-44,CARULLA CEDRO BOLIVAR,Nov-21,-74.043167842249,4.7325993894308
PromoAmbiental (ASE01),1,CALLE 152 CRA 9,HOMECENTER CEDRITOS,Nov-21,-74.032263369537,4.7298943572497
PromoAmbiental (ASE01),1,CALLE 161 No.20 - 48,TABLECENTRO,Nov-21,-74.044541444337,4.7411482550542
PromoAmbiental (ASE01),1,CALLE 161 No. 19 A - 64,MADECENTRO,Nov-21,-74.043372677648,4.7409313705141
PromoAmbiental (ASE01),1,CALLE 161 No. 19 A - 76,AGLOCENTRO,Nov-21,-74.043324481084,4.741220549901
PromoAmbiental (ASE01),1,CRA 20 No. 162 - 33,AGLOCENTRO,Nov-21,-74.044288412373,4.7423652183072
PromoAmbiental (ASE01),2,CRA 7 No. 36-39,UNIVERSIDAD JAVERIANA,Nov-21,-74.065519834768,4.6267849809087
PromoAmbiental (ASE01),3,CRA 7 No. 36-39,UNIVERSIDAD JAVERIANA,Nov-21,-74.066414802981,4.6234920054099
PromoAmbiental (ASE01),2,CRA 7 No. 40 - 62,HOSPITAL SAN IGNASIO,Nov-21,-74.065703903655,4.6261307673148
PromoAmbiental (ASE01),2,CALLE 45 No. 6-23,UNIVERSIDAD JAVERIANA CALLE 45,Nov-21,-74.063269977149,4.6318029004963
PromoAmbiental (ASE01),2,CALLE 49 No. 9 - 42,CLINICA MARLY,Nov-21,-74.064637554666,4.6361616772959
PromoAmbiental (ASE01),2,CALLE 51 No. 9-29,SUBSEDES CLINICA MARLY,Nov-21,-74.0642007733,4.6378319894834
PromoAmbiental (ASE01),2,CALLE 50 No. 7-36,SUBSEDES CLINICA MARLY,Nov-21,-74.063648018951,4.6366858149345
PromoAmbiental (ASE01),2,CALLE 50 No. 9-32,SUBSEDES CLINICA MARLY,Nov-21,-74.064449286836,4.6368966749041
PromoAmbiental (ASE01),2,CRA 13 No. 50 A - 04,SUBSEDES CLINICA MARLY,Nov-21,-74.065578893816,4.6372159771437
PromoAmbiental (ASE01),2,CALLE 52 No. 13 - 70,EXITO CHAPINERO,Nov-21,-74.065184284444,4.6391528765785
PromoAmbiental (ASE01),2,CRA 5 CALLE 49,HOSPITAL MILITAR CENTRAL,Nov-21,-74.062361773137,4.63566766251
PromoAmbiental (ASE01),3,CRA 3 CALLE 30,UNIVERSIDAD DISTRITAL,Nov-21,-74.064395174608,4.614027513969
PromoAmbiental (ASE01),17,MONSERRATE- TELESFERICO,MONSERRATE- TELESFERICO,Nov-21,-74.061150627124,4.6026021219518
PromoAmbiental (ASE01),4,CALLE 1 SUR No. 6 - 53,SITP,Nov-21,-74.08107848826,4.5860477233083
PromoAmbiental (ASE01),3,CRA 1 No. 9- 85,INSTITUTO NAL DE CANCEROLOGIA,Nov-21,-74.083753397588,4.5885479200904
PromoAmbiental (ASE01),4,CRA 8 No. 0 - 55 SUR,HOSPITAL LA SAMARITANA,Nov-21,-74.082928031421,4.5874514482487
PromoAmbiental (ASE01),3,CRA 8 No. 1C - 50 SUR,CARCEL DISTRITAL MUJERES,Nov-21,-74.082253279519,4.5884515269615
PromoAmbiental (ASE01),3,CRA 8 No. 1C - 50 SUR,CARCEL DISTRITAL DE HOMBRES,Nov-21,-74.082452090347,4.5882286178508
PromoAmbiental (ASE01),4,CRA 8 No. 17 - 45 sur,CLINICA SAN RAFAEL,Nov-21,-74.089211658515,4.5758963219161
PromoAmbiental (ASE01),4,CRA 8 No. 18 SUR,CLINICA SAN RAFAEL sede 2,Nov-21,-74.090055098393,4.5746191129576
PromoAmbiental (ASE01),4,CRA 3 ESTE No. 16 - 72 SUR,HOSPITAL SAN BLAS,Nov-21,-74.083641943033,4.5722815795806
PromoAmbiental (ASE01),4,CALLE 11 SUR No. 7 - 24,ACEITES BEG,Nov-21,-74.086676820452,4.5788965580546
PromoAmbiental (ASE01),4,CRA 3 ESTE CALLE 17,SURTIMAX SAN BLAS,Nov-21,-74.085568299469,4.572911147204
PromoAmbiental (ASE01),4,"CALL 21 No, 5A - 20 SUR",SURTIMAX 20 DE JULIO,Nov-21,-74.084724859591,4.5699771813417
PromoAmbiental (ASE01),4,KR 7 CALLE 25 SUR,PLAZA 20 DE JULIO,Nov-21,-74.09338507058,4.5707956985432
PromoAmbiental (ASE01),4,CALLE 21 No. 5A - 34 SUR,EXITO 20 DE JULIO,Nov-21,-74.091092721483,4.5722837674713
PromoAmbiental (ASE01),4,CALL 1 MAYO No. 8A - 22 SUR,HOSPITAL SAN CRISTOBAL SEDE AD,Nov-21,-74.093222407175,4.5746604605569
PromoAmbiental (ASE01),4,CALLE 1 MAYO No. 1 - 40 SUR,ALCALDIA LOCAL SAN CRISTOBAL,Nov-21,-74.088085875429,4.5699164368558
PromoAmbiental (ASE01),2,CRA 5 CALLE 49,HOSPITAL MILITAR CENTRAL,Nov-21,-74.062325169384,4.635600092868
PromoAmbiental (ASE01),3,CRA 3 CALLE 30,UNIVERSIDAD DISTRITAL,Nov-21,-74.064426630682,4.6139750255548
PromoAmbiental (ASE01),17,MONSERRATE- TELESFERICO,MONSERRATE- TELESFERICO,Nov-21,-74.061404265812,4.6025520667505
PromoAmbiental (ASE01),4,CRA 9 No. 1A - 05 SUR,CENTRO CANCEROLOGICO,Nov-21,-74.084948787542,4.5872140051414
PromoAmbiental (ASE01),4,CRA 8 No. 0 - 55 SUR,HOSPITAL LA SAMARITANA,Nov-21,-74.082963691543,4.5874760739607
PromoAmbiental (ASE01),4,CRA 8 No. 17 - 45 sur,CLINICA SAN RAFAEL,Nov-21,-74.090873952687,4.5767026356582
PromoAmbiental (ASE01),4,CRA 8 No. 18 SUR,CLINICA SAN RAFAEL sede 2,Nov-21,-74.091744503133,4.5754947092611
PromoAmbiental (ASE01),4,BATALLON 20 DE JULIO,BATALLON 20 DE JULIO,Nov-21,-74.091055510627,4.5733554321402
PromoAmbiental (ASE01),4,VELODROMO 20 DE JULIO,VELODROMO 20 DE JULIO,Nov-21,-74.090202381779,4.573165771059
PromoAmbiental (ASE01),4,CALLE 11 SUR No. 1B-10 ESTE,ANCIANATO HOGAR SAN PEDRO,Nov-21,-74.082849393411,4.5756147589913
PromoAmbiental (ASE01),4,CALLE 11 SUR CRA 12 ESTE,ESCUELA LOGISTICA EJERCITO,Nov-21,-74.076761564861,4.5714126210262
PromoAmbiental (ASE01),4,CRA 3 ESTE No. 16 - 72 SUR,HOSPITAL SAN BLAS,Nov-21,-74.083876582692,4.5723163066101
PromoAmbiental (ASE01),4,CALLE 1 MAYO No. 1 - 40 SUR,ALCALDIA LOCAL SAN CRISTOBAL,Nov-21,-74.087358784475,4.5697498395519
PromoAmbiental (ASE01),4,CRA 3 ESTE CRA 17,SURTIMAX SAN BLAS,Nov-21,-74.083644636725,4.5721837660578
PromoAmbiental (ASE01),2,CRA 5 CALLE 49,HOSPITAL MILITAR CENTRAL,Nov-21,-74.062351663144,4.6356271877147
PromoAmbiental (ASE01),3,CRA 3 CALLE 30,UNIVERSIDAD DISTRITAL,Nov-21,-74.064476830409,4.6139553012707
PromoAmbiental (ASE01),17,MONSERRATE- TELESFERICO,MONSERRATE- TELESFERICO,Nov-21,-74.061417174283,4.6027468358426
PromoAmbiental (ASE01),3,CRA 9 No. 1A - 05 SUR,CENTRO CANCEROLOGICO,Nov-21,-74.083659702876,4.5885076593353
PromoAmbiental (ASE01),4,CRA 8 No. 0 - 55 SUR,HOSPITAL LA SAMARITANA,Nov-21,-74.082929724918,4.5874885811962
PromoAmbiental (ASE01),4,CRA 8 No. 17 - 45 sur,CLINICA SAN RAFAEL,Nov-21,-74.089318838925,4.5756643837805
PromoAmbiental (ASE01),4,CRA 8 No. 18 SUR,CLINICA SAN RAFAEL sede 2,Nov-21,-74.089925949306,4.5747826282275
PromoAmbiental (ASE01),4,BATALLON 20 DE JULIO,BATALLON 20 DE JULIO,Nov-21,-74.091842427505,4.5735029074683
PromoAmbiental (ASE01),4,VELODROMO 20 DE JULIO,VELODROMO 20 DE JULIO,Nov-21,-74.090498111661,4.5730258921691
Lime (ASE02),16,CL 5C 53D 12,GASEOSAS LUX,Nov-21,-74.111711706,4.6238215920001
PromoAmbiental (ASE01),3,CALLE 11 SUR No. 1B-10 ESTE,ANCIANATO HOGAR SAN PEDRO,Nov-21,-74.088814131516,4.5918366231301
PromoAmbiental (ASE01),4,CALLE 11 SUR CRA 12 ESTE,ESCUELA LOGISTICA EJERCITO,Nov-21,-74.076556283829,4.5712816002388
PromoAmbiental (ASE01),4,CRA 3 ESTE No. 16 - 72 SUR,HOSPITAL SAN BLAS,Nov-21,-74.083899428434,4.5721344457736
PromoAmbiental (ASE01),4,CALLE 1 MAYO No. 1 - 40 SUR,ALCALDIA LOCAL SAN CRISTOBAL,Nov-21,-74.087932375963,4.570009559441
PromoAmbiental (ASE01),4,CRA 3 ESTE CRA 17,SURTIMAX SAN BLAS,Nov-21,-74.083465778162,4.5721199907646
PromoAmbiental (ASE01),4,CALLE 21 No. 5A - 34 SUR,EXITO 20 DE JULIO,Nov-21,-74.09216769362,4.5720477157192
PromoAmbiental (ASE01),4,CRA 5A No. 30D - 25 SUR,PORTAL 20 DE JULIO,Nov-21,-74.096981211638,4.5663379871383
PromoAmbiental (ASE01),4,CRA 8 No. 30D - 13 SUR,METRO 20 DE JULIO,Nov-21,-74.099204120954,4.568911587432
PromoAmbiental (ASE01),5,Av. Cra 14 con calles 65 y 68,PORTAL USME,Nov-21,-74.120959782695,4.5306598122054
PromoAmbiental (ASE01),5,Av. Cra 14 con calles 65 y 68,PORTAL PLATAFORMA USME,Nov-21,-74.120757412568,4.5304285320603
PromoAmbiental (ASE01),5,CRA 1 CALL 65 SUR,OBRA ALTAVISTA USME,Nov-21,-74.120159137523,4.5336237724955
PromoAmbiental (ASE01),5,CRA 1A No. 65D Sur -  58,EXITO USME,Nov-21,-74.118751707468,4.5315279724955
PromoAmbiental (ASE01),5,CRA 1A No. 65D Sur -  58,ALTAVISTA CENTRO CIAL,Nov-21,-74.118852892532,4.5317447976315
